month,sample_size,nucleotide_diversity,country
2021-07-01,353,8.555292622791465e-4,India
2021-08-01,423,9.525066001164284e-4,India
2021-09-01,430,0.00109447073032587,India
2021-10-01,441,0.00110450668719208,India
2021-11-01,385,0.00129684408935973,India
2021-12-01,344,0.00481437449826835,India
2022-01-01,302,0.00189755039378304,India
2022-02-01,388,6.82093358734333e-4,India
2022-03-01,283,0.00100257752248951,India
2022-04-01,442,0.00101649792592623,India
2022-05-01,429,0.00138449319324817,India
2022-06-01,425,0.0015150111357073101,India
2022-07-01,374,0.00211112873684389,India
2022-08-01,327,0.00247746280196396,India
2022-09-01,463,0.00211699290431788,India
2022-10-01,469,0.00249024940900163,India
2022-11-01,232,0.00236850870358148,India
2022-12-01,372,0.00422669853435286,India
2023-01-01,265,0.00410189181627059,India
2023-02-01,188,0.00298327723841274,India
2023-03-01,389,0.00190512983593397,India
2023-04-01,240,0.00176832949453046,India
2023-05-01,199,0.00211089816147511,India
2023-06-01,34,0.00280882071480012,India
2023-07-01,51,0.00176696612766528,India
2023-08-01,45,0.00233158498474786,India
2023-09-01,15,0.00238377843607035,India
2023-10-01,48,0.00171794624643234,India
2023-11-01,34,0.00308690194881843,India
2023-12-01,420,0.0015733499304958,India
2024-01-01,293,0.00149054326564109,India
2024-02-01,45,0.00164417845064584,India
2024-03-01,135,0.00156719343783324,India
2024-04-01,15,0.00108154123481536,India
2024-06-01,33,0.00160666117727926,India
2024-07-01,27,0.00230627558207138,India
2024-08-01,16,0.00306782257435342,India
2025-02-01,6,0.00212218891212858,India
2020-01-01,40,0.00153124144931158,USA
2020-02-01,152,0.00227397191154582,USA
2020-03-01,850,2.2479361771907873e-4,USA
2020-04-01,767,2.1698738395611931e-4,USA
2020-05-01,750,2.6542554708408215e-4,USA
2020-06-01,721,3.3551878257344814e-4,USA
2020-07-01,676,3.943354789714562e-4,USA
2020-08-01,691,4.8570969862389015e-4,USA
2020-09-01,693,5.857516698202171e-4,USA
2020-10-01,636,5.547455672891126e-4,USA
2020-11-01,755,5.662511212401759e-4,USA
2020-12-01,755,8.786937621685153e-4,USA
2021-01-01,680,0.00110207425551196,USA
2021-02-01,613,0.00139594512269073,USA
2021-03-01,665,0.00198710902187593,USA
2021-04-01,721,0.00193966782820271,USA
2021-05-01,753,0.00211988074302234,USA
2021-06-01,725,0.00282962017538478,USA
2021-07-01,671,0.00115539071273203,USA
2021-08-01,666,8.854323471368376e-4,USA
2021-09-01,692,8.84596634755663e-4,USA
2021-10-01,701,9.458557114229516e-4,USA
2021-11-01,756,9.19508969534826e-4,USA
2021-12-01,614,0.00478371872598497,USA
2022-01-01,468,0.00116575773052217,USA
2022-02-01,500,0.00103627719074641,USA
2022-03-01,684,0.00241084999700277,USA
